epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
30,3781.31,1.16359,0.74152,1.3607,0.91417,0.90435,0.94391,0.66353,1.05581,0.56997,1.29783,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,3905.67,1.15394,0.72595,1.3561,0.91285,0.90043,0.94603,0.66417,1.06507,0.59291,1.2969,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,4030.73,1.1531,0.72157,1.36692,0.92963,0.90482,0.95312,0.66736,1.08023,0.57191,1.31401,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,4155.57,1.15026,0.72643,1.36711,0.92087,0.90064,0.94276,0.67088,1.03693,0.57592,1.28156,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,4282.84,1.13985,0.71607,1.35147,0.93045,0.90052,0.94397,0.66608,1.05369,0.58647,1.31366,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,4407.44,1.13196,0.70073,1.34581,0.90718,0.92497,0.95052,0.679,1.03136,0.55264,1.27955,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,4533.23,1.11202,0.69614,1.3344,0.93388,0.89794,0.95007,0.68874,1.012,0.55877,1.26986,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
37,4659.79,1.11397,0.70398,1.33459,0.92607,0.90259,0.94915,0.67529,1.02004,0.56519,1.26933,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942,0.0276883,0.00922942
38,4784.79,1.10745,0.68557,1.3259,0.92376,0.91255,0.95332,0.68901,1.00978,0.55807,1.25367,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725,0.0275617,0.00918725
39,4912.53,1.10197,0.68422,1.32694,0.91867,0.91791,0.9504,0.68906,1.00505,0.5283,1.25611,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405,0.0274321,0.00914405
40,5038.65,1.10352,0.68497,1.32199,0.90887,0.90333,0.94453,0.68767,0.99655,0.53999,1.2569,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984,0.0272995,0.00909984
41,5164.59,1.07574,0.67749,1.30582,0.92481,0.92784,0.954,0.69045,1.01191,0.51943,1.26748,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463,0.0271639,0.00905463
42,5292.34,1.08092,0.6728,1.31068,0.93053,0.92505,0.95334,0.69955,0.97108,0.52181,1.26227,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844,0.0270253,0.00900844
43,5420.14,1.0864,0.6641,1.31309,0.91332,0.9176,0.94943,0.69068,1.02016,0.53192,1.26532,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127,0.0268838,0.00896127
44,5545.37,1.08426,0.67113,1.31327,0.91524,0.92233,0.95475,0.68885,1.01319,0.52896,1.26234,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313,0.0267394,0.00891313
45,5669.62,1.06318,0.65338,1.29602,0.9293,0.91918,0.9542,0.70909,0.95144,0.51293,1.22785,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404,0.0265921,0.00886404
46,5795.31,1.05829,0.64233,1.2849,0.90717,0.93256,0.94748,0.69696,0.95524,0.49657,1.22786,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401,0.026442,0.00881401
47,5919.68,1.05266,0.65027,1.28742,0.92728,0.90793,0.94767,0.69187,0.98637,0.52468,1.23487,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305,0.0262891,0.00876305
