epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
127,15791.7,0.71391,0.40923,1.05884,0.94857,0.91968,0.95342,0.73735,0.84479,0.39664,1.23699,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412,0.00925235,0.00308412
128,15914.3,0.71695,0.41363,1.06469,0.94498,0.92307,0.95397,0.73159,0.85699,0.39449,1.2402,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013,0.00903901,0.003013
129,16036.4,0.70976,0.40988,1.05854,0.94036,0.93086,0.95298,0.73168,0.85849,0.39688,1.24952,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239,0.00882718,0.00294239
130,16159.4,0.7152,0.4132,1.0635,0.94013,0.93572,0.95656,0.73415,0.85922,0.39037,1.25692,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723,0.0086169,0.0028723
131,16286.5,0.70651,0.40406,1.05635,0.94533,0.93393,0.95487,0.73028,0.85157,0.39085,1.24892,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275,0.00840824,0.00280275
132,16410.9,0.69668,0.39752,1.05248,0.94721,0.93192,0.95377,0.72928,0.85606,0.39329,1.25606,0.00820124,0.00273375,0.00820124,0.00273375,0.00820124,0.00273375,0.00820124,0.00273375
133,16536.2,0.69337,0.39933,1.04851,0.94812,0.92904,0.95614,0.73231,0.852,0.39171,1.24926,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532,0.00799596,0.00266532
134,16659.5,0.69325,0.39553,1.04913,0.94738,0.92336,0.95711,0.73267,0.84788,0.39548,1.23972,0.00779244,0.00259748,0.00779244,0.00259748,0.00779244,0.00259748,0.00779244,0.00259748
135,16783.8,0.69099,0.39599,1.04372,0.93515,0.93739,0.95227,0.73033,0.84966,0.40127,1.24229,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024,0.00759073,0.00253024
136,16907.9,0.69006,0.39598,1.04527,0.93807,0.93143,0.9527,0.73214,0.85527,0.39994,1.24924,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363,0.0073909,0.00246363
137,17030.8,0.68325,0.3923,1.04027,0.9401,0.93567,0.95368,0.73242,0.84781,0.39902,1.24237,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766,0.00719297,0.00239766
138,17153.2,0.68543,0.39053,1.0417,0.94161,0.93455,0.95277,0.72831,0.86091,0.39743,1.26171,0.00699701,0.00233234,0.00699701,0.00233234,0.00699701,0.00233234,0.00699701,0.00233234
139,17278.3,0.68258,0.39107,1.04017,0.93858,0.93415,0.9522,0.73038,0.86086,0.39553,1.26836,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769,0.00680306,0.00226769
140,17400.2,0.67337,0.38685,1.03938,0.94034,0.93722,0.95224,0.73137,0.85779,0.3895,1.26806,0.00661117,0.00220372,0.00661117,0.00220372,0.00661117,0.00220372,0.00661117,0.00220372
141,17522.9,0.67308,0.38719,1.03834,0.94324,0.93716,0.95139,0.73103,0.85664,0.38575,1.26543,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046,0.00642139,0.00214046
142,17645.5,0.66952,0.38267,1.03412,0.94064,0.93631,0.95324,0.73314,0.85622,0.38737,1.27423,0.00623376,0.00207792,0.00623376,0.00207792,0.00623376,0.00207792,0.00623376,0.00207792
143,17768.8,0.66716,0.38355,1.03429,0.94027,0.94084,0.95458,0.73265,0.84868,0.38839,1.26672,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611,0.00604833,0.00201611
144,17893.3,0.6643,0.37913,1.03363,0.94829,0.93312,0.95437,0.73322,0.84944,0.38067,1.2684,0.00586515,0.00195505,0.00586515,0.00195505,0.00586515,0.00195505,0.00586515,0.00195505
145,18019.6,0.66608,0.38129,1.03234,0.94818,0.93583,0.95623,0.73264,0.84475,0.37991,1.26045,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475,0.00568425,0.00189475
146,18143.5,0.65942,0.38191,1.02862,0.94422,0.9392,0.95631,0.73425,0.84241,0.38231,1.25552,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523,0.0055057,0.00183523
147,18266.4,0.65684,0.38346,1.03087,0.94119,0.93793,0.9545,0.73604,0.84152,0.3864,1.25557,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651,0.00532952,0.00177651
148,18389.7,0.6536,0.37791,1.0283,0.93789,0.94005,0.957,0.73624,0.84439,0.38722,1.2583,0.00515576,0.00171859,0.00515576,0.00171859,0.00515576,0.00171859,0.00515576,0.00171859
149,18512,0.6462,0.37381,1.02252,0.93923,0.94078,0.95576,0.73402,0.84532,0.38686,1.26263,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149,0.00498448,0.00166149
150,18634.4,0.65176,0.37481,1.0278,0.9381,0.94384,0.9544,0.73466,0.84273,0.38234,1.25818,0.00481569,0.00160523,0.00481569,0.00160523,0.00481569,0.00160523,0.00481569,0.00160523
151,18756.7,0.64566,0.37105,1.02203,0.93629,0.94168,0.95665,0.73651,0.84358,0.38297,1.26433,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982,0.00464946,0.00154982
152,18878.4,0.64277,0.37241,1.02432,0.93354,0.94396,0.95761,0.73609,0.8417,0.38242,1.26134,0.00448582,0.00149527,0.00448582,0.00149527,0.00448582,0.00149527,0.00448582,0.00149527
